Nom, marque,CATEGORY, code sous-cateogru, unite,cout,PRIX,QUANTITE,QANTITE ALERT, code-hsn, code isbn,Image, details(virgule interdite),frais supplementaire,"	frais suplementaires 2mois","	frais suplementaires 3 mois",frais penalite 1 mois,frais penalite 2mois,frais penalite 3 mois
crayon de couleur etui 21,,papeterie,,pc,800,800,42,5,,,1594.jpg,,,,,,,
crayon de couleur peps etui 15,,papeterie,,pc,3850,3850,11,2,,,1597.jpg,,,,,,,
craie plastidecor etui 24,,papeterie,,pc,3800,3800,7,1,,,1598.jpg,,,,,,,
crayon de couleur aquarellable boite 18,,papeterie,,pc,4650,4650,32,4,,,1600.jpg,,,,,,,
crayon de couleur aquarellable boite 12,,papeterie,,pc,3100,3100,109,11,,,1601.jpg,,,,,,,
crayon de couleur peps boite 12,,papeterie,,pc,3600,3600,727,73,,,1602.jpg,,,,,,,
compas reversible nick,,papeterie,,pc,3000,3000,47,5,,,1608.jpg,,,,,,,
compas boite 3 pieces,,papeterie,,pc,3600,3600,28,3,,,1611.jpg,,,,,,,
pinceau aquarelle n 14 poney,,papeterie,,pc,700,700,87,9,,,1613.jpg,,,,,,,
regle plate 30cm lustran,,papeterie,,pc,400,400,1,1,,,1614.jpg,,,,,,,
pate a modeler fluo 8*33g,,papeterie,,pc,3800,3800,17,2,,,1620.jpg,,,,,,,
compas plastique crayon bois,,papeterie,,pc,1000,1000,221,23,,,1623.jpg,,,,,,,
pochette canson 180gr 24*32 afrique,,papeterie,,pc,1200,1200,90,9,,,1624.jpg,,,,,,,
compas plastique,,papeterie,,pc,800,800,50782,5079,,,1625.jpg,,,,,,,
gomme plastique office,,papeterie,,pc,350,350,243,25,,,1626.jpg,,,,,,,
pate a modeler 450g noir,,papeterie,,pc,1900,1900,13,2,,,1627.jpg,,,,,,,
crayon bicolore bleu rouge,,papeterie,,pc,1100,1100,213,22,,,1640.jpg,,,,,,,
pate a modeler rouge 450g,,papeterie,,pc,1900,1900,29,3,,,1644.jpg,,,,,,,
ensemble isograph pen st  (4),,papeterie,,pc,69900,69900,1,1,,,1647.jpg,,,,,,,
pastel durs 24 couleurs assorties,,papeterie,,pc,28550,28550,6,1,,,1656.jpg,,,,,,,
crayon pastel boite metal conte,,papeterie,,pc,41300,41300,6,1,,,1657.jpg,,,,,,,
crayon de couleur karat aquarelle boite 36,,papeterie,,pc,25000,25000,43,5,,,1658.jpg,,,,,,,
album photo mt+calque bleu 20f 27*28. 0917-504,,papeterie,,pc,26500,26500,37,4,,,1659.jpg,,,,,,,
compas balustre laiton coffret 028025,,papeterie,,pc,11850,11850,40,4,,,1664.jpg,,,,,,,
machine a tailleler bleu   501 20-3,,papeterie,,pc,12750,12750,7,1,,,1668.jpg,,,,,,,
album photo mt+calque rose 20f 27*28. 0917-503,,papeterie,,pc,17500,17500,16,2,,,1671.jpg,,,,,,,
feutres pinceaux aquabrush duo lyra etui 12,,papeterie,,pc,13000,13000,13,2,,,1674.jpg,,,,,,,
crayon de couleur groove slim lyra triang + taille crayon etui 36,,papeterie,,pc,15000,15000,9,1,,,1676.jpg,,,,,,,
feutre dessin boite 20 metal,,papeterie,,pc,15000,15000,16,2,,,1680.jpg,,,,,,,
